h_ct,h_lat,h_lon
48201232701,29.78864965,-95.22782735
48201232702,29.78511283,-95.21297737
48201232800,29.78601169,-95.20401362
48201232900,29.80025437,-95.196381
48201233001,29.79719293,-95.18255412
48201233002,29.80172767,-95.17014974
48201233003,29.79369853,-95.17074191
48201233101,29.78756136,-95.17932481
48201233102,29.78005765,-95.16371573
48201233103,29.77646439,-95.17627142
48201233200,29.7796873,-95.19213473
48201233300,29.75511795,-95.19926159
48201233400,29.77071824,-95.24650275
48201233500,29.76334826,-95.23920266
48201233600,29.75077564,-95.25962075
48201233701,29.735928,-95.24750298
48201233702,29.74754591,-95.23793762
48201233703,29.74306816,-95.22198118
48201240100,29.94539178,-95.40158866
48201240400,29.98684834,-95.38081164
48201240501,29.95890421,-95.39164709
48201240502,29.94844777,-95.39202649
48201240600,29.95817812,-95.40854983
48201240701,30.01009842,-95.41416919
48201240702,29.98045008,-95.406869
48201240801,30.02981882,-95.41840253
48201240802,30.02608868,-95.36500853
48201240901,30.01959212,-95.31764225
48201240902,30.01821353,-95.28494623
48201241000,30.05073291,-95.34052544
48201241101,30.06246469,-95.38911836
48201241102,30.0522611,-95.36502356
48201241103,30.04770897,-95.37946673
48201241200,30.04732413,-95.39755786
48201241300,30.06759156,-95.42159162
48201241400,30.08411307,-95.40076184
48201241500,29.96604491,-95.31434546
48201250100,29.96520501,-95.26444962
48201250200,29.94706044,-95.26097897
48201250301,29.95181119,-95.23224041
48201250302,29.971684,-95.20905377
48201250401,29.9870642,-95.17756845
48201250402,29.97220576,-95.17614221
48201250500,29.99311736,-95.19617333
48201250600,29.99038603,-95.24457069
48201250701,30.01235396,-95.22296221
48201250702,30.00323548,-95.17850631
48201250800,30.01763523,-95.15842334
48201250900,30.04460578,-95.15027691
48201251000,30.03516132,-95.19597221
48201251100,30.03502514,-95.23554013
48201251200,30.05764923,-95.22274046
48201251300,30.05609819,-95.19979907
48201251401,30.08088665,-95.19125042
48201251402,30.07320948,-95.2013093
48201251501,30.09930288,-95.16024529
48201251502,30.06154209,-95.17369964
48201251503,30.07361131,-95.18506563
48201251600,30.10141203,-95.11342525
48201251700,30.02497344,-95.08196286
48201251800,29.96263756,-95.03293961
48201251901,29.95191112,-95.10602242
48201251902,29.90813048,-95.09622614
48201252000,29.91855305,-95.17072706
48201252100,29.88567727,-95.13591585
48201252200,29.83766731,-95.15000811
48201252301,29.79614863,-95.15328481
48201252302,29.8043391,-95.13825513
48201252400,29.78183562,-95.14285603
48201252500,29.76256178,-95.12516989
48201252600,29.82701352,-95.10468871
48201252700,29.9156643,-95.02719967
48201252800,29.8620009,-95.03320041
48201252900,29.81318002,-95.05760192
48201253000,29.82270128,-95.01945847
48201253100,29.82614238,-94.96369014
48201253200,29.79315976,-94.9640746
48201253300,29.76369721,-95.05229077
48201253400,29.75458915,-95.01406602
48201253500,29.7775268,-95.00458644
48201253600,29.76144186,-94.99098736
48201253700,29.76363211,-94.97089575
48201253800,29.76636501,-94.94824582
48201253900,29.75091922,-94.93472297
48201254000,29.73494255,-94.94275587
48201254100,29.74638046,-94.95586391
48201254200,29.72871817,-94.96450797
48201254300,29.74229974,-94.9733315
48201254400,29.7261823,-94.97582765
48201254500,29.73562402,-95.0110305
48201254600,29.71818419,-95.00199454
48201254700,29.69990821,-94.95976771
48201310100,29.75452631,-95.34333931
48201310200,29.74347581,-95.35111732
48201310300,29.73645599,-95.33597466
48201310400,29.75100834,-95.32951916
48201310500,29.74738627,-95.31641763
48201310600,29.73253912,-95.32481962
48201310700,29.7210983,-95.31607205
48201310800,29.73024302,-95.31074245
48201310900,29.7357902,-95.30132532
48201311000,29.74513993,-95.29809421
48201311100,29.7332196,-95.28529768
48201311200,29.71927507,-95.29903859
48201311300,29.70972141,-95.29452901
48201311400,29.71923549,-95.27502534
48201311500,29.7083733,-95.28197063
48201311600,29.70110868,-95.28617179
48201311700,29.69994585,-95.30732363
48201311800,29.7059545,-95.3211185
48201311900,29.71691921,-95.32544285
48201312000,29.71716469,-95.34421251
48201312100,29.72227377,-95.34460502
48201312200,29.73210558,-95.34975687
48201312300,29.73772886,-95.36036725
48201312400,29.72989932,-95.36101599
48201312500,29.73996587,-95.37288745
48201312600,29.72520884,-95.38067385
48201312700,29.7265569,-95.36789891
48201312800,29.72195837,-95.35794093
48201312900,29.71448147,-95.36285902
48201313000,29.71903795,-95.37307345
48201313100,29.71082222,-95.38986392
48201313200,29.70679682,-95.36009945
48201313300,29.70447752,-95.33594574
48201313400,29.69419194,-95.33825285
48201313500,29.68871395,-95.34789305
48201313600,29.69164604,-95.35757468
48201313700,29.69750059,-95.36646106
48201313800,29.68799252,-95.37261992
48201313900,29.69186749,-95.38390264
48201314001,29.69892604,-95.39240481
48201314002,29.68787111,-95.39747541
48201314300,29.6836967,-95.41772337
48201314400,29.68989711,-95.40724821
48201320100,29.69466972,-95.28126831
48201320200,29.69547176,-95.26919292
48201320500,29.69876507,-95.24531342
48201320601,29.68405716,-95.26221692
48201320602,29.6780005,-95.25845644
48201320700,29.67048174,-95.25065499
48201320800,29.65980223,-95.24099408
48201320900,29.64831928,-95.23685126
48201321000,29.6378313,-95.22666472
48201321100,29.62160039,-95.20922851
48201321200,29.63660084,-95.20139328
48201321300,29.64632608,-95.21426603
48201321401,29.66552499,-95.22671475
48201321402,29.65661647,-95.21977217
48201321500,29.66503729,-95.21188631
48201321600,29.67720582,-95.21961843
48201321700,29.67797828,-95.23557413
48201321800,29.68787615,-95.23872794
48201321900,29.69577041,-95.22486367
48201322000,29.70116045,-95.21812211
48201322100,29.69004318,-95.21042121
48201322200,29.70440874,-95.21287224
48201322600,29.69905678,-95.15770903
48201322700,29.70180097,-95.16659399
48201322800,29.70612649,-95.1810699
48201322900,29.70347261,-95.1943059
48201323000,29.69489907,-95.19199442
48201323100,29.68842538,-95.16937431
48201323200,29.68690681,-95.18291768
48201323300,29.68716476,-95.20112547
48201323400,29.67660709,-95.19955542
48201323500,29.66342686,-95.20179452
48201323600,29.64678972,-95.19089522
48201323701,29.65774503,-95.17877215
48201323702,29.64531928,-95.17661474
48201323801,29.67438162,-95.18919352
48201323802,29.67324415,-95.17910149
48201323900,29.67350639,-95.16412083
48201324000,29.64160858,-95.1722417
48201324100,29.72558104,-95.18393032
48201324200,29.71584127,-95.245478
48201330100,29.63475516,-95.42071024
48201330200,29.63924613,-95.45469079
48201330301,29.63619538,-95.47217419
48201330302,29.61594831,-95.47685627
