d_id,d_tract,d_lat,d_lon,h_id,h_tract,h_lat,h_lon,h_Workers
48039661300,48039661300,29.42824844,-95.25816383,48039660602,48039660602,29.53281004,-95.41160511,15
48039661501,48039661501,29.4390005,-95.32438928,48039660602,48039660602,29.53281004,-95.41160511,32
48039661800,48039661800,29.36735064,-95.37414358,48039660602,48039660602,29.53281004,-95.41160511,36
48039661900,48039661900,29.35259388,-95.49676933,48039660602,48039660602,29.53281004,-95.41160511,56
48157670101,48157670101,29.58858178,-95.45227544,48039660602,48039660602,29.53281004,-95.41160511,36
48157670102,48157670102,29.58453793,-95.46389077,48039660602,48039660602,29.53281004,-95.41160511,17
48157670700,48157670700,29.56412871,-95.46559408,48039660602,48039660602,29.53281004,-95.41160511,52
48157670800,48157670800,29.52330573,-95.46689334,48039660602,48039660602,29.53281004,-95.41160511,107
48201313900,48201313900,29.69186713,-95.38390289,48039660602,48039660602,29.53281004,-95.41160511,21
48201330600,48201330600,29.61306867,-95.43296713,48039660602,48039660602,29.53281004,-95.41160511,36
48201330800,48201330800,29.60087515,-95.35986756,48039660602,48039660602,29.53281004,-95.41160511,54
48201330900,48201330900,29.61312522,-95.40256988,48039660602,48039660602,29.53281004,-95.41160511,61
48201331500,48201331500,29.62719029,-95.36910827,48039660602,48039660602,29.53281004,-95.41160511,36
48201331800,48201331800,29.65267875,-95.34545538,48039660602,48039660602,29.53281004,-95.41160511,19
48039660802,48039660802,29.53973551,-95.30516281,48039660801,48039660801,29.55307529,-95.30993583,44
48039660500,48039660500,29.5778347,-95.3180474,48039660900,48039660900,29.50593098,-95.28771153,48
48039661400,48039661400,29.40908579,-95.25990554,48039661000,48039661000,29.46626722,-95.29753616,40
48039661501,48039661501,29.4390005,-95.32438928,48039661000,48039661000,29.46626722,-95.29753616,35
48039661700,48039661700,29.2267496,-95.20838522,48039661000,48039661000,29.46626722,-95.29753616,21
48039661000,48039661000,29.46626722,-95.29753616,48039661100,48039661100,29.44099022,-95.22842556,61
48039661200,48039661200,29.41540313,-95.23766896,48039661100,48039661100,29.44099022,-95.22842556,55
48039661300,48039661300,29.42824844,-95.25816383,48039661100,48039661100,29.44099022,-95.22842556,26
48039661400,48039661400,29.40908579,-95.25990554,48039661100,48039661100,29.44099022,-95.22842556,52
48039661501,48039661501,29.4390005,-95.32438928,48039661100,48039661100,29.44099022,-95.22842556,38
48039661502,48039661502,29.39187761,-95.31191808,48039661100,48039661100,29.44099022,-95.22842556,56
48039661601,48039661601,29.39109375,-95.21233718,48039661100,48039661100,29.44099022,-95.22842556,62
48039661602,48039661602,29.35186939,-95.25161676,48039661100,48039661100,29.44099022,-95.22842556,36
48039661700,48039661700,29.2267496,-95.20838522,48039661100,48039661100,29.44099022,-95.22842556,25
48039661800,48039661800,29.36735064,-95.37414358,48039661100,48039661100,29.44099022,-95.22842556,38
48321730600,48321730600,28.66248225,-96.18550143,48039661100,48039661100,29.44099022,-95.22842556,32
48039660200,48039660200,29.5123357,-95.23714218,48039661200,48039661200,29.41540313,-95.23766896,44
48039660602,48039660602,29.53281004,-95.41160511,48039661200,48039661200,29.41540313,-95.23766896,478
48039660702,48039660702,29.50913634,-95.36363401,48039661200,48039661200,29.41540313,-95.23766896,124
48039660802,48039660802,29.53973551,-95.30516281,48039661200,48039661200,29.41540313,-95.23766896,45
48039660900,48039660900,29.50593098,-95.28771153,48039661200,48039661200,29.41540313,-95.23766896,89
48039661000,48039661000,29.46626722,-95.29753616,48039661200,48039661200,29.41540313,-95.23766896,274
48039661100,48039661100,29.44099022,-95.22842556,48039661200,48039661200,29.41540313,-95.23766896,133
48039661300,48039661300,29.42824844,-95.25816383,48039661200,48039661200,29.41540313,-95.23766896,95
48039661400,48039661400,29.40908579,-95.25990554,48039661200,48039661200,29.41540313,-95.23766896,332
48039661501,48039661501,29.4390005,-95.32438928,48039661200,48039661200,29.41540313,-95.23766896,150
48039661502,48039661502,29.39187761,-95.31191808,48039661200,48039661200,29.41540313,-95.23766896,204
48039661601,48039661601,29.39109375,-95.21233718,48039661200,48039661200,29.41540313,-95.23766896,302
48039661602,48039661602,29.35186939,-95.25161676,48039661200,48039661200,29.41540313,-95.23766896,155
48039661700,48039661700,29.2267496,-95.20838522,48039661200,48039661200,29.41540313,-95.23766896,80
48039661800,48039661800,29.36735064,-95.37414358,48039661200,48039661200,29.41540313,-95.23766896,174
48039661900,48039661900,29.35259388,-95.49676933,48039661200,48039661200,29.41540313,-95.23766896,120
48167720301,48167720301,29.52079563,-95.20028398,48039661200,48039661200,29.41540313,-95.23766896,13
48167720302,48167720302,29.49861842,-95.21590152,48039661200,48039661200,29.41540313,-95.23766896,74
48167723400,48167723400,29.41057963,-95.13973611,48039661200,48039661200,29.41540313,-95.23766896,49
48201350801,48201350801,29.52459412,-95.17445107,48039661200,48039661200,29.41540313,-95.23766896,35
48201412100,48201412100,29.71722595,-95.40273243,48039661200,48039661200,29.41540313,-95.23766896,4
48039661400,48039661400,29.40908579,-95.25990554,48039661300,48039661300,29.42824844,-95.25816383,48
48039661000,48039661000,29.46626722,-95.29753616,48039661400,48039661400,29.40908579,-95.25990554,43
48039661100,48039661100,29.44099022,-95.22842556,48039661400,48039661400,29.40908579,-95.25990554,29
48039661200,48039661200,29.41540313,-95.23766896,48039661400,48039661400,29.40908579,-95.25990554,47
48039661300,48039661300,29.42824844,-95.25816383,48039661400,48039661400,29.40908579,-95.25990554,30
48039661502,48039661502,29.39187761,-95.31191808,48039661400,48039661400,29.40908579,-95.25990554,47
48039661601,48039661601,29.39109375,-95.21233718,48039661400,48039661400,29.40908579,-95.25990554,63
48039661602,48039661602,29.35186939,-95.25161676,48039661400,48039661400,29.40908579,-95.25990554,23
48039661700,48039661700,29.2267496,-95.20838522,48039661400,48039661400,29.40908579,-95.25990554,31
48039661602,48039661602,29.35186939,-95.25161676,48039661502,48039661502,29.39187761,-95.31191808,22
48039661100,48039661100,29.44099022,-95.22842556,48039661602,48039661602,29.35186939,-95.25161676,23
48039661200,48039661200,29.41540313,-95.23766896,48039661602,48039661602,29.35186939,-95.25161676,48
48039661300,48039661300,29.42824844,-95.25816383,48039661602,48039661602,29.35186939,-95.25161676,16
48039661400,48039661400,29.40908579,-95.25990554,48039661602,48039661602,29.35186939,-95.25161676,67
48039661502,48039661502,29.39187761,-95.31191808,48039661602,48039661602,29.35186939,-95.25161676,52
48039661601,48039661601,29.39109375,-95.21233718,48039661602,48039661602,29.35186939,-95.25161676,97
48039661700,48039661700,29.2267496,-95.20838522,48039661602,48039661602,29.35186939,-95.25161676,23
48039662000,48039662000,29.2295172,-95.6851081,48039661900,48039661900,29.35259388,-95.49676933,32
48039662100,48039662100,29.1968829,-95.50985132,48039661900,48039661900,29.35259388,-95.49676933,65
48039662400,48039662400,29.19797998,-95.34683347,48039661900,48039661900,29.35259388,-95.49676933,41
48039664200,48039664200,29.0496368,-95.23572448,48039661900,48039661900,29.35259388,-95.49676933,14
48039662600,48039662600,29.1101486,-95.64410668,48039662000,48039662000,29.2295172,-95.6851081,112
48039662700,48039662700,29.13926842,-95.78233537,48039662000,48039662000,29.2295172,-95.6851081,85
48039662800,48039662800,29.01854224,-95.69764984,48039662000,48039662000,29.2295172,-95.6851081,129
48039662900,48039662900,29.05950945,-95.61220737,48039662000,48039662000,29.2295172,-95.6851081,33
48039663400,48039663400,29.02503384,-95.45288876,48039662000,48039662000,29.2295172,-95.6851081,41
48321730201,48321730201,29.09965437,-95.90528846,48039662000,48039662000,29.2295172,-95.6851081,52
48321730202,48321730202,29.00163685,-95.82019362,48039662000,48039662000,29.2295172,-95.6851081,17
48321730301,48321730301,28.97568539,-95.95362722,48039662000,48039662000,29.2295172,-95.6851081,20
48039662200,48039662200,29.25422637,-95.40066328,48039662100,48039662100,29.1968829,-95.50985132,75
48039662300,48039662300,29.17545428,-95.42294532,48039662100,48039662100,29.1968829,-95.50985132,56
48039662400,48039662400,29.19797998,-95.34683347,48039662100,48039662100,29.1968829,-95.50985132,60
48039663100,48039663100,29.08437165,-95.47516422,48039662100,48039662100,29.1968829,-95.50985132,32
48039664100,48039664100,29.0814244,-95.31797924,48039662100,48039662100,29.1968829,-95.50985132,62
48039662300,48039662300,29.17545428,-95.42294532,48039662200,48039662200,29.25422637,-95.40066328,75
48039662400,48039662400,29.19797998,-95.34683347,48039662200,48039662200,29.25422637,-95.40066328,64
48039664100,48039664100,29.0814244,-95.31797924,48039662200,48039662200,29.25422637,-95.40066328,46
48039662100,48039662100,29.1968829,-95.50985132,48039662300,48039662300,29.17545428,-95.42294532,43
48039662200,48039662200,29.25422637,-95.40066328,48039662300,48039662300,29.17545428,-95.42294532,72
48039662500,48039662500,29.11817534,-95.54203842,48039662300,48039662300,29.17545428,-95.42294532,30
48039661700,48039661700,29.2267496,-95.20838522,48039662400,48039662400,29.19797998,-95.34683347,28
48039662100,48039662100,29.1968829,-95.50985132,48039662400,48039662400,29.19797998,-95.34683347,53
48039662200,48039662200,29.25422637,-95.40066328,48039662400,48039662400,29.19797998,-95.34683347,104
