h_id,h_sector,h_lat,h_lon,h_Workers,h_Workers2015,h_Workers2014,Workers2013,Workers2011,Workers2009,d_id,d_sector,d_lat,d_lon
48039660802,48039660802,29.53973551,-95.30516281,44,,,,,,170,48039660801,29.55307529,-95.30993583
48039660900,48039660900,29.50593098,-95.28771153,204,,,,,,171,48039660500,29.5778347,-95.3180474
48039660900,48039660900,29.50593098,-95.28771153,97,,,,,,172,48201100000,29.75738955,-95.36317172
48039660900,48039660900,29.50593098,-95.28771153,89,,,,,,173,48039661200,29.41540313,-95.23766896
48039660900,48039660900,29.50593098,-95.28771153,77,,,,,,174,48201313100,29.71082216,-95.38986395
48039660900,48039660900,29.50593098,-95.28771153,67,,,,,,175,48039660300,29.54406129,-95.26109153
48039660900,48039660900,29.50593098,-95.28771153,33,,,,,,177,48039660400,29.57580351,-95.27143199
48039660900,48039660900,29.50593098,-95.28771153,29,,,,,,178,48039660601,29.57156008,-95.36953288
48039660900,48039660900,29.50593098,-95.28771153,28,,,,,,179,48039660602,29.53281004,-95.41160511
48039660900,48039660900,29.50593098,-95.28771153,28,,,,,,180,48201341100,29.54230821,-95.12443385
48039661000,48039661000,29.46626722,-95.29753616,274,,,,,,181,48039661200,29.41540313,-95.23766896
48039661000,48039661000,29.46626722,-95.29753616,99,,,,,,182,48201100000,29.75738955,-95.36317172
48039661000,48039661000,29.46626722,-95.29753616,72,,,,,,184,48039660500,29.5778347,-95.3180474
48039661000,48039661000,29.46626722,-95.29753616,72,,,,,,185,48201313100,29.71082216,-95.38986395
48039661000,48039661000,29.46626722,-95.29753616,61,,,,,,186,48039661100,29.44099022,-95.22842556
48039661000,48039661000,29.46626722,-95.29753616,61,,,,,,187,48201341100,29.54230821,-95.12443385
48039661000,48039661000,29.46626722,-95.29753616,43,,,,,,188,48039661400,29.40908579,-95.25990554
48039661000,48039661000,29.46626722,-95.29753616,43,,,,,,189,48201343700,29.63781911,-95.06066298
48039661000,48039661000,29.46626722,-95.29753616,40,,,,,,190,48039660300,29.54406129,-95.26109153
48039661100,48039661100,29.44099022,-95.22842556,133,,,,,,191,48039661200,29.41540313,-95.23766896
48039661100,48039661100,29.44099022,-95.22842556,47,,,,,,192,48039660500,29.5778347,-95.3180474
48039661100,48039661100,29.44099022,-95.22842556,42,,,,,,193,48201100000,29.75738955,-95.36317172
48039661100,48039661100,29.44099022,-95.22842556,36,,,,,,195,48201341100,29.54230821,-95.12443385
48039661100,48039661100,29.44099022,-95.22842556,29,,,,,,196,48039661400,29.40908579,-95.25990554
48039661100,48039661100,29.44099022,-95.22842556,28,,,,,,197,48039660300,29.54406129,-95.26109153
48039661100,48039661100,29.44099022,-95.22842556,25,,,,,,198,48201343700,29.63781911,-95.06066298
48039661100,48039661100,29.44099022,-95.22842556,23,,,,,,199,48039661602,29.35186939,-95.25161676
48039661100,48039661100,29.44099022,-95.22842556,22,,,,,,200,48167721300,29.52039986,-95.08453765
48039661200,48039661200,29.41540313,-95.23766896,55,,,,,,202,48039661100,29.44099022,-95.22842556
48039661200,48039661200,29.41540313,-95.23766896,48,,,,,,203,48039661602,29.35186939,-95.25161676
48039661200,48039661200,29.41540313,-95.23766896,47,,,,,,204,48039661400,29.40908579,-95.25990554
48039661200,48039661200,29.41540313,-95.23766896,40,,,,,,205,48039660500,29.5778347,-95.3180474
48039661200,48039661200,29.41540313,-95.23766896,33,,,,,,206,48201100000,29.75738955,-95.36317172
48039661200,48039661200,29.41540313,-95.23766896,31,,,,,,207,48201341100,29.54230821,-95.12443385
48039661200,48039661200,29.41540313,-95.23766896,26,,,,,,208,48039660300,29.54406129,-95.26109153
48039661200,48039661200,29.41540313,-95.23766896,26,,,,,,209,48201313100,29.71082216,-95.38986395
48039661200,48039661200,29.41540313,-95.23766896,24,,,,,,210,48039660602,29.53281004,-95.41160511
48039661300,48039661300,29.42824844,-95.25816383,95,,,,,,211,48039661200,29.41540313,-95.23766896
48039661300,48039661300,29.42824844,-95.25816383,36,,,,,,212,48201100000,29.75738955,-95.36317172
48039661300,48039661300,29.42824844,-95.25816383,30,,,,,,213,48039661400,29.40908579,-95.25990554
48039661300,48039661300,29.42824844,-95.25816383,26,,,,,,214,48039661100,29.44099022,-95.22842556
48039661300,48039661300,29.42824844,-95.25816383,20,,,,,,215,48039660500,29.5778347,-95.3180474
48039661300,48039661300,29.42824844,-95.25816383,17,,,,,,217,48201313100,29.71082216,-95.38986395
48039661300,48039661300,29.42824844,-95.25816383,17,,,,,,218,48201341100,29.54230821,-95.12443385
48039661300,48039661300,29.42824844,-95.25816383,16,,,,,,219,48039661602,29.35186939,-95.25161676
48039661300,48039661300,29.42824844,-95.25816383,15,,,,,,220,48039660602,29.53281004,-95.41160511
48039661400,48039661400,29.40908579,-95.25990554,332,,,,,,221,48039661200,29.41540313,-95.23766896
48039661400,48039661400,29.40908579,-95.25990554,112,,,,,,222,48201100000,29.75738955,-95.36317172
48039661400,48039661400,29.40908579,-95.25990554,67,,,,,,224,48039661602,29.35186939,-95.25161676
48039661400,48039661400,29.40908579,-95.25990554,56,,,,,,225,48201341100,29.54230821,-95.12443385
48039661400,48039661400,29.40908579,-95.25990554,52,,,,,,226,48039661100,29.44099022,-95.22842556
48039661400,48039661400,29.40908579,-95.25990554,48,,,,,,227,48039661300,29.42824844,-95.25816383
48039661400,48039661400,29.40908579,-95.25990554,44,,,,,,228,48201343700,29.63781911,-95.06066298
48039661400,48039661400,29.40908579,-95.25990554,42,,,,,,229,48039660500,29.5778347,-95.3180474
48039661400,48039661400,29.40908579,-95.25990554,40,,,,,,230,48039661000,29.46626722,-95.29753616
48039661501,48039661501,29.4390005,-95.32438928,150,,,,,,231,48039661200,29.41540313,-95.23766896
48039661501,48039661501,29.4390005,-95.32438928,60,,,,,,232,48201100000,29.75738955,-95.36317172
48039661501,48039661501,29.4390005,-95.32438928,50,,,,,,233,48039660500,29.5778347,-95.3180474
48039661501,48039661501,29.4390005,-95.32438928,38,,,,,,234,48039661100,29.44099022,-95.22842556
48039661501,48039661501,29.4390005,-95.32438928,37,,,,,,235,48201330800,29.60087515,-95.35986756
48039661501,48039661501,29.4390005,-95.32438928,35,,,,,,236,48039661000,29.46626722,-95.29753616
48039661501,48039661501,29.4390005,-95.32438928,35,,,,,,237,48201343700,29.63781911,-95.06066298
48039661501,48039661501,29.4390005,-95.32438928,34,,,,,,238,48201313100,29.71082216,-95.38986395
48039661501,48039661501,29.4390005,-95.32438928,32,,,,,,239,48039660602,29.53281004,-95.41160511
48039661502,48039661502,29.39187761,-95.31191808,204,,,,,,241,48039661200,29.41540313,-95.23766896
48039661502,48039661502,29.39187761,-95.31191808,56,,,,,,242,48039661100,29.44099022,-95.22842556
48039661502,48039661502,29.39187761,-95.31191808,54,,,,,,243,48201100000,29.75738955,-95.36317172
48039661502,48039661502,29.39187761,-95.31191808,52,,,,,,244,48039661602,29.35186939,-95.25161676
48039661502,48039661502,29.39187761,-95.31191808,47,,,,,,245,48039661400,29.40908579,-95.25990554
48039661502,48039661502,29.39187761,-95.31191808,38,,,,,,247,48201313100,29.71082216,-95.38986395
48039661502,48039661502,29.39187761,-95.31191808,32,,,,,,248,48039660500,29.5778347,-95.3180474
48039661502,48039661502,29.39187761,-95.31191808,32,,,,,,249,48201343700,29.63781911,-95.06066298
48039661502,48039661502,29.39187761,-95.31191808,26,,,,,,250,48201341100,29.54230821,-95.12443385
48039661601,48039661601,29.39109375,-95.21233718,302,,,,,,251,48039661200,29.41540313,-95.23766896
48039661601,48039661601,29.39109375,-95.21233718,97,,,,,,252,48039661602,29.35186939,-95.25161676
48039661601,48039661601,29.39109375,-95.21233718,90,,,,,,253,48201100000,29.75738955,-95.36317172
48039661601,48039661601,29.39109375,-95.21233718,63,,,,,,254,48039661400,29.40908579,-95.25990554
48039661601,48039661601,29.39109375,-95.21233718,62,,,,,,255,48039661100,29.44099022,-95.22842556
48039661601,48039661601,29.39109375,-95.21233718,49,,,,,,257,48201313100,29.71082216,-95.38986395
48039661601,48039661601,29.39109375,-95.21233718,43,,,,,,258,48201343700,29.63781911,-95.06066298
48039661601,48039661601,29.39109375,-95.21233718,40,,,,,,259,48201341100,29.54230821,-95.12443385
48039661601,48039661601,29.39109375,-95.21233718,29,,,,,,260,48039660500,29.5778347,-95.3180474
48039661602,48039661602,29.35186939,-95.25161676,155,,,,,,261,48039661200,29.41540313,-95.23766896
48039661602,48039661602,29.35186939,-95.25161676,44,,,,,,263,48201100000,29.75738955,-95.36317172
48039661602,48039661602,29.35186939,-95.25161676,36,,,,,,264,48039661100,29.44099022,-95.22842556
48039661602,48039661602,29.35186939,-95.25161676,29,,,,,,265,48201313100,29.71082216,-95.38986395
48039661602,48039661602,29.35186939,-95.25161676,28,,,,,,266,48039660500,29.5778347,-95.3180474
48039661602,48039661602,29.35186939,-95.25161676,25,,,,,,267,48039660300,29.54406129,-95.26109153
48039661602,48039661602,29.35186939,-95.25161676,23,,,,,,268,48039661400,29.40908579,-95.25990554
48039661602,48039661602,29.35186939,-95.25161676,22,,,,,,269,48039661502,29.39187761,-95.31191808
48039661602,48039661602,29.35186939,-95.25161676,20,,,,,,270,48201341100,29.54230821,-95.12443385
48039661700,48039661700,29.2267496,-95.20838522,80,,,,,,271,48039661200,29.41540313,-95.23766896
48039661700,48039661700,29.2267496,-95.20838522,34,,,,,,273,48201100000,29.75738955,-95.36317172
48039661700,48039661700,29.2267496,-95.20838522,31,,,,,,274,48039661400,29.40908579,-95.25990554
